JX1-2B41	 U+027A
JX1-2B42	 U+0267
JX1-2B43	 U+025A
JX1-2B45	 U+01FD
JX1-2B46	 U+1F70
JX1-2B47	 U+1F71
JX1-2B50	 U+1F72
JX1-2B51	 U+1F73
JX1-2B52	 U+0361
JX1-2B53	 U+02C8
JX1-2B54	 U+02CC
JX1-2B55	 U+02D0
JX1-2B56	 U+02D1
JX1-2B57	 U+0306
JX1-2B59	 U+030B
JX1-2B5A	 U+0301
JX1-2B5B	 U+0304
JX1-2B5C	 U+0300
JX1-2B5D	 U+030F
JX1-2B5E	 U+030C
JX1-2B5F	 U+0302
JX1-2B60	 U+02E5
JX1-2B61	 U+02E6
JX1-2B62	 U+02E7
JX1-2B63	 U+02E8
JX1-2B64	 U+02E9
JX1-2B67	 U+0325
JX1-2B68	 U+032C
JX1-2B69	 U+0339
JX1-2B6A	 U+031C
JX1-2B6B	 U+031F
JX1-2B6C	 U+0320
JX1-2B6D	 U+0308
JX1-2B6E	 U+033D
JX1-2B6F	 U+0329
JX1-2B70	 U+032F
JX1-2B71	 U+02DE
JX1-2B72	 U+0324
JX1-2B73	 U+0330
JX1-2B74	 U+033C
JX1-2B75	 U+0334
JX1-2B76	 U+031D
JX1-2B77	 U+031E
JX1-2B78	 U+0318
JX1-2B79	 U+0319
JX1-2B7A	 U+032A
JX1-2B7B	 U+033A
JX1-2B7C	 U+033B
JX1-2B7D	 U+0303
JX1-2B7E	 U+031A
JX1-2C21	 U+2776
JX1-2C22	 U+2777
JX1-2C23	 U+2778
JX1-2C24	 U+2779
JX1-2C25	 U+277A
JX1-2C26	 U+277B
JX1-2C27	 U+277C
JX1-2C28	 U+277D
JX1-2C29	 U+277E
JX1-2C2A	 U+277F
JX1-2C35	 U+2170
JX1-2C36	 U+2171
JX1-2C37	 U+2172
JX1-2C38	 U+2173
JX1-2C39	 U+2174
JX1-2C3A	 U+2175
JX1-2C3B	 U+2176
JX1-2C3C	 U+2177
JX1-2C3D	 U+2178
JX1-2C3E	 U+2179
JX1-2C3F	 U+217A
JX1-2C40	 U+217B
JX1-2C41	 U+24D0
JX1-2C42	 U+24D1
JX1-2C43	 U+24D2
JX1-2C44	 U+24D3
JX1-2C45	 U+24D4
JX1-2C46	 U+24D5
JX1-2C47	 U+24D6
JX1-2C48	 U+24D7
JX1-2C49	 U+24D8
JX1-2C4A	 U+24D9
JX1-2C4B	 U+24DA
JX1-2C4C	 U+24DB
JX1-2C4D	 U+24DC
JX1-2C4E	 U+24DD
JX1-2C4F	 U+24DE
JX1-2C50	 U+24DF
JX1-2C51	 U+24E0
JX1-2C52	 U+24E1
JX1-2C53	 U+24E2
JX1-2C54	 U+24E3
JX1-2C55	 U+24E4
JX1-2C56	 U+24E5
JX1-2C57	 U+24E6
JX1-2C58	 U+24E7
JX1-2C59	 U+24E8
JX1-2C5A	 U+24E9
JX1-2C5B	 U+32D0
JX1-2C5C	 U+32D1
JX1-2C5D	 U+32D2
JX1-2C5E	 U+32D3
JX1-2C5F	 U+32D4
JX1-2C60	 U+32D5
JX1-2C61	 U+32D6
JX1-2C62	 U+32D7
JX1-2C63	 U+32D8
JX1-2C64	 U+32D9
JX1-2C65	 U+32DA
JX1-2C66	 U+32DB
JX1-2C67	 U+32DC
JX1-2C68	 U+32DD
JX1-2C69	 U+32DE
JX1-2C6A	 U+32DF
JX1-2C6B	 U+32E0
JX1-2C6C	 U+32E1
JX1-2C6D	 U+32E2
JX1-2C6E	 U+32E3
JX1-2C6F	 U+32FA
JX1-2C70	 U+32E9
JX1-2C71	 U+32E5
JX1-2C72	 U+32ED
JX1-2C73	 U+32EC
JX1-2C7E	 U+2042
JX1-2D21	 U+2460
JX1-2D22	 U+2461
JX1-2D23	 U+2462
JX1-2D24	 U+2463
JX1-2D25	 U+2464
JX1-2D26	 U+2465
JX1-2D27	 U+2466
JX1-2D28	 U+2467
JX1-2D29	 U+2468
JX1-2D2A	 U+2469
JX1-2D2B	 U+246A
JX1-2D2C	 U+246B
JX1-2D2D	 U+246C
JX1-2D2E	 U+246D
JX1-2D2F	 U+246E
JX1-2D30	 U+246F
JX1-2D31	 U+2470
JX1-2D32	 U+2471
JX1-2D33	 U+2472
JX1-2D34	 U+2473
JX1-2D35	 U+2160
JX1-2D36	 U+2161
JX1-2D37	 U+2162
JX1-2D38	 U+2163
JX1-2D39	 U+2164
JX1-2D3A	 U+2165
JX1-2D3B	 U+2166
JX1-2D3C	 U+2167
JX1-2D3D	 U+2168
JX1-2D3E	 U+2169
JX1-2D3F	 U+216A
JX1-2D40	 U+3349
JX1-2D41	 U+3314
JX1-2D42	 U+3322
JX1-2D43	 U+334D
JX1-2D44	 U+3318
JX1-2D45	 U+3327
JX1-2D46	 U+3303
JX1-2D47	 U+3336
JX1-2D48	 U+3351
JX1-2D49	 U+3357
JX1-2D4A	 U+330D
JX1-2D4B	 U+3326
JX1-2D4C	 U+3323
JX1-2D4D	 U+332B
JX1-2D4E	 U+334A
JX1-2D4F	 U+333B
JX1-2D50	 U+339C
JX1-2D51	 U+339D
JX1-2D52	 U+339E
JX1-2D53	 U+338E
JX1-2D54	 U+338F
JX1-2D55	 U+33C4
JX1-2D56	 U+33A1
JX1-2D57	 U+216B
JX1-2D5F	 U+337B
JX1-2D60	 U+301D
JX1-2D61	 U+301F
JX1-2D62	 U+2116
JX1-2D63	 U+33CD
JX1-2D64	 U+2121
JX1-2D65	 U+32A4
JX1-2D66	 U+32A5
JX1-2D67	 U+32A6
JX1-2D68	 U+32A7
JX1-2D69	 U+32A8
JX1-2D6A	 U+3231
JX1-2D6B	 U+3232
JX1-2D6C	 U+3239
JX1-2D6D	 U+337E
JX1-2D6E	 U+337D
JX1-2D6F	 U+337C
JX1-2D73	 U+222E
JX1-2D78	 U+221F
JX1-2D79	 U+22BF
JX1-2D7D	 U+2756
JX1-2D7E	 U+261E
JX1-2E22	 U-0002000B
JX1-2E23	 U+3402
JX1-2E24	 U+4E28
JX1-2E25	 U+4E2F
JX1-2E26	 U+4E30
JX1-2E27	 U+4E8D
JX1-2E28	 U+4EE1
JX1-2E29	 U+4EFD
JX1-2E2A	 U+4EFF
JX1-2E2B	 U+4F03
JX1-2E2C	 U+4F0B
JX1-2E2D	 U+4F60
JX1-2E2E	 U+4F48
JX1-2E2F	 U+4F49
JX1-2E30	 U+4F56
JX1-2E31	 U+4F5F
JX1-2E32	 U+4F6A
JX1-2E33	 U+4F6C
JX1-2E34	 U+4F7E
JX1-2E35	 U+4F8A
JX1-2E36	 U+4F94
JX1-2E37	 U+4F97
JX1-2E38	 U+4FAE
JX1-2E39	 U+4FC9
JX1-2E3A	 U+4FE0
JX1-2E3B	 U+5001
JX1-2E3C	 U+5002
JX1-2E3D	 U+500E
JX1-2E3E	 U+5018
JX1-2E3F	 U+5027
JX1-2E40	 U+502E
JX1-2E41	 U+5040
JX1-2E42	 U+503B
JX1-2E43	 U+5041
JX1-2E44	 U+5094
JX1-2E45	 U+50CC
JX1-2E46	 U+50F2
JX1-2E47	 U+50D0
JX1-2E48	 U+50E6
JX1-2E49	 U+50E7
JX1-2E4A	 U+5106
JX1-2E4B	 U+5103
JX1-2E4C	 U+510B
JX1-2E4D	 U+511E
JX1-2E4E	 U+5135
JX1-2E4F	 U+514A
JX1-2E50	 U+514D
JX1-2E51	 U+5155
JX1-2E52	 U+5157
JX1-2E53	 U+34B5
JX1-2E54	 U+519D
JX1-2E55	 U+51C3
JX1-2E56	 U+51CA
JX1-2E57	 U+51DE
JX1-2E58	 U+51E2
JX1-2E59	 U+51EE
JX1-2E5A	 U+5201
JX1-2E5B	 U+34DB
JX1-2E5C	 U+5213
JX1-2E5D	 U+5215
JX1-2E5E	 U+5249
JX1-2E5F	 U+5257
JX1-2E60	 U+5261
JX1-2E61	 U+5293
JX1-2E62	 U+52C8
JX1-2E63	 U+52C9
JX1-2E64	 U+52CC
JX1-2E65	 U+52D0
JX1-2E66	 U+52D6
JX1-2E67	 U+52DB
JX1-2E68	 U+52E4
JX1-2E69	 U+52F0
JX1-2E6A	 U+52FB
JX1-2E6B	 U+5300
JX1-2E6C	 U+5307
JX1-2E6D	 U+531C
JX1-2E6E	 U+5351
JX1-2E6F	 U+5361
JX1-2E70	 U+5363
JX1-2E71	 U+537D
JX1-2E72	 U+5393
JX1-2E73	 U+539D
JX1-2E74	 U+53B2
JX1-2E75	 U+5412
JX1-2E76	 U+5427
JX1-2E77	 U+544D
JX1-2E78	 U+549C
JX1-2E79	 U+546B
JX1-2E7A	 U+5474
JX1-2E7B	 U+547F
JX1-2E7C	 U+5488
JX1-2E7D	 U+5496
JX1-2E7E	 U+54A1
JX1-2F21	 U+54A9
JX1-2F22	 U+54C6
JX1-2F23	 U+54FF
JX1-2F24	 U+550E
JX1-2F25	 U+552B
JX1-2F26	 U+5535
JX1-2F27	 U+5550
JX1-2F28	 U+555E
JX1-2F29	 U+5581
JX1-2F2A	 U+5586
JX1-2F2B	 U+558E
JX1-2F2C	 U+559D
JX1-2F2D	 U+55AD
JX1-2F2E	 U+55CE
JX1-2F2F	 U+5606
JX1-2F30	 U+5608
JX1-2F31	 U+560E
JX1-2F32	 U+563B
JX1-2F33	 U+5649
JX1-2F34	 U+5676
JX1-2F35	 U+5666
JX1-2F36	 U+5668
JX1-2F37	 U+566F
JX1-2F38	 U+5671
JX1-2F39	 U+5672
JX1-2F3A	 U+5699
JX1-2F3B	 U+569E
JX1-2F3C	 U+56A9
JX1-2F3D	 U+56AC
JX1-2F3E	 U+56B3
JX1-2F3F	 U+56C9
JX1-2F40	 U+56CA
JX1-2F41	 U+570A
JX1-2F42	 U-0002123D
JX1-2F43	 U+5721
JX1-2F44	 U+572F
JX1-2F45	 U+5733
JX1-2F46	 U+5734
JX1-2F47	 U+5770
JX1-2F48	 U+5777
JX1-2F49	 U+577C
JX1-2F4A	 U+579C
JX1-2F4B	 U+FA0F
JX1-2F4C	 U-0002131B
JX1-2F4D	 U+57B8
JX1-2F4E	 U+57C7
JX1-2F4F	 U+57C8
JX1-2F50	 U+57CF
JX1-2F51	 U+57E4
JX1-2F52	 U+57ED
JX1-2F53	 U+57F5
JX1-2F54	 U+57F6
JX1-2F55	 U+57FF
JX1-2F56	 U+5809
JX1-2F57	JU+FA10	U+585A
JX1-2F58	 U+5861
JX1-2F59	 U+5864
JX1-2F5B	 U+587C
JX1-2F5C	 U+5889
JX1-2F5D	 U+589E
JX1-2F5E	 U+58A8
JX1-2F5F	 U+58A9
JX1-2F60	 U-0002146E
JX1-2F61	 U+58D2
JX1-2F62	 U+58CE
JX1-2F63	 U+58D4
JX1-2F64	 U+58DA
JX1-2F65	 U+58E0
JX1-2F66	 U+58E9
JX1-2F67	 U+590C
JX1-2F68	 U+8641
JX1-2F69	 U+595D
JX1-2F6A	 U+596D
JX1-2F6B	 U+598B
JX1-2F6C	 U+5992
JX1-2F6D	 U+59A4
JX1-2F6E	 U+59C3
JX1-2F6F	 U+59D2
JX1-2F70	 U+59DD
JX1-2F71	 U+5A13
JX1-2F72	 U+5A23
JX1-2F73	 U+5A67
JX1-2F74	 U+5A6D
JX1-2F75	 U+5A77
JX1-2F76	 U+5A7E
JX1-2F77	 U+5A84
JX1-2F78	 U+5A9E
JX1-2F79	 U+5AA7
JX1-2F7A	 U+5AC4
JX1-2F7B	 U-000218BD
JX1-2F7C	 U+5B19
JX1-2F7D	 U+5B25
JX1-4F55	 U+5B41
JX1-4F56	 U+5B56
JX1-4F57	 U+5B7D
JX1-4F58	 U+5B93
JX1-4F59	 U+5BD8
JX1-4F5A	 U+5BEC
JX1-4F5B	 U+5C12
JX1-4F5C	 U+5C1E
JX1-4F5D	 U+5C23
JX1-4F5E	 U+5C2B
JX1-4F60	 U+5C62
JX1-4F61	 U+5C64
JX1-4F62	 U+5C6E
